Modality,Operator,PSNR,FOM
mri,LoG,12.582210847154453,0.8543667233520028
mri,Roberts,12.442923573598657,0.9418250174089887
mri,Frei-Chen,12.286343738308936,0.9509511762660103
mri,Sobel,12.477910653599185,0.9506468169485911
mri,Prewitt,12.47819863916246,0.9497624678145404
mri,Kirsch,12.44416557809932,0.9493598567563531
mri,LoG,12.518855962932774,0.8543372055884413
mri,Roberts,12.336202946061174,0.9425099219348464
mri,Frei-Chen,12.476670004741962,0.950055437909568
mri,Sobel,12.927426084071612,0.9513666511389676
mri,Prewitt,12.924219880347376,0.9504125613934926
mri,Kirsch,12.894313916884508,0.9498957296714934
mri,LoG,12.888011522404298,0.8539450498402618
mri,Roberts,12.886708984119364,0.9436816674644128
mri,Frei-Chen,12.924269157787302,0.9510411997399785
mri,Sobel,12.967117924499709,0.950951418045941
mri,Prewitt,12.976106017569878,0.9502447841573146
mri,Kirsch,12.986572700955746,0.9501900192178088
mri,LoG,12.946953697528228,0.8568921211493322
mri,Roberts,12.99411330379858,0.9430297824782649
mri,Frei-Chen,12.9705362109556,0.9506667488386008
mri,Sobel,12.113818595959167,0.9494788819037038
mri,Prewitt,12.134652861285637,0.9482989100330982
mri,Kirsch,12.15172829900384,0.9477896536070546
mri,LoG,12.19576507749644,0.8571038103912558
mri,Roberts,11.996947156014922,0.9416151692242526
mri,Frei-Chen,12.12309156650086,0.9489381171699433
mri,Sobel,11.94080979014682,0.9480159597550539
mri,Prewitt,11.961345650287534,0.946894322961802
mri,Kirsch,11.908619493082702,0.9468090459924705
mri,LoG,11.80972204912646,0.8546925959514796
mri,Roberts,11.839071982745468,0.9406187455096389
mri,Frei-Chen,11.953678742075141,0.9474839218993278
mri,Sobel,11.539446583356508,0.9479301502981694
mri,Prewitt,11.547563993067412,0.9465707776560687
mri,Kirsch,11.53344574095087,0.9468940782531116
mri,LoG,11.32987164097812,0.8611120009982178
mri,Roberts,11.48444244264045,0.9389903341716576
mri,Frei-Chen,11.547346054310994,0.9472268389631756
mri,Sobel,11.514115500330949,0.9458185779715627
mri,Prewitt,11.552419988413973,0.9443310345781146
mri,Kirsch,11.527362447913472,0.9442023018020486
mri,LoG,11.455983121409218,0.8570856747547512
mri,Roberts,11.40335986361471,0.9370408559892843
mri,Frei-Chen,11.532358779683316,0.9450984968820704
mri,Sobel,11.106195664003932,0.9459760945902904
mri,Prewitt,11.18395247112228,0.944402384357374
mri,Kirsch,11.189278922188432,0.9444107681620105
mri,LoG,11.036290462586154,0.8533741143800647
mri,Roberts,11.067583610665377,0.938641393335151
mri,Frei-Chen,11.144341804696364,0.9454009419548489
mri,Sobel,11.697345996718209,0.9461461933081408
mri,Prewitt,11.704677093777953,0.9451294365052914
mri,Kirsch,11.748771554358598,0.9454985240615471
mri,LoG,11.60797671702375,0.851774709310946
mri,Roberts,11.703709043957744,0.9384919216872597
mri,Frei-Chen,11.699499836977763,0.9457043121701448
mri,Sobel,11.573192481478426,0.9465604125473875
mri,Prewitt,11.614836045220354,0.9454890756065754
mri,Kirsch,11.583472926243495,0.9453984152336735
mri,LoG,11.510696085487853,0.8528504275242077
mri,Roberts,11.516677185820644,0.9391990084464672
mri,Frei-Chen,11.598052744385694,0.94605979548746
mri,Sobel,11.449632696201967,0.945705295390498
mri,Prewitt,11.446866858070301,0.944774250151552
mri,Kirsch,11.390017346727117,0.9445758195543712
mri,LoG,11.356675491280324,0.8506799273619902
mri,Roberts,11.367015293212678,0.9366166751209463
mri,Frei-Chen,11.456015188252186,0.9452067663850972
mri,Sobel,11.112716580962172,0.9435728075003164
mri,Prewitt,11.129526273760288,0.9423064988427918
mri,Kirsch,11.125902721859564,0.9424156118105134
mri,LoG,11.046309454294512,0.8466245788969177
mri,Roberts,11.139649030890338,0.9135741981868122
mri,Frei-Chen,11.12006913233188,0.9429948832945507
mri,Sobel,10.89958649952251,0.9280541264780338
mri,Prewitt,10.910269191274281,0.933391875070323
mri,Kirsch,10.89947373167961,0.9362967191479992
mri,LoG,10.650497987341565,0.8495496982491639
mri,Roberts,10.919419664776598,0.9042771278624558
mri,Frei-Chen,10.90392708864124,0.929467064557442
mri,Sobel,10.588461972198672,0.9242178521036135
mri,Prewitt,10.627410492832055,0.9244998534620268
mri,Kirsch,10.580605940531882,0.9253028938050715
mri,LoG,10.338758330169204,0.8495981059065596
mri,Roberts,10.491057837238543,0.892923263693486
mri,Frei-Chen,10.607153206614417,0.9245769255993467
mri,Sobel,10.886291615385211,0.9420652984169741
mri,Prewitt,10.866151989061148,0.9409256183295641
mri,Kirsch,10.9041694550626,0.9405777255346465
mri,LoG,10.525851374547662,0.8467171198412423
mri,Roberts,10.866025010316108,0.9337577265664828
mri,Frei-Chen,10.874428819472413,0.9414092571285368
mri,Sobel,11.100976915010124,0.940625102254973
mri,Prewitt,11.117258297004398,0.9396561801239689
mri,Kirsch,11.089690241679302,0.9399283647862668
mri,LoG,11.326197321962256,0.8433556282453849
mri,Roberts,11.011001894012749,0.9279504466272411
mri,Frei-Chen,11.108163599335327,0.9400631857986621
mri,Sobel,12.000014980214019,0.9392896283250732
mri,Prewitt,12.03762919862486,0.9382701986345148
mri,Kirsch,11.988589235707703,0.9390948511603717
mri,LoG,12.245629915050717,0.8367961735048001
mri,Roberts,11.952388996317495,0.9321084167264605
mri,Frei-Chen,12.018423369277116,0.9389286245939273
mri,Sobel,11.017518214055379,0.9339457996225241
mri,Prewitt,11.046184118044206,0.9331139718717392
mri,Kirsch,11.002847226274765,0.9335564180988412
mri,LoG,11.21207422923002,0.8301003368053379
mri,Roberts,11.007616443792383,0.9266756119854889
mri,Frei-Chen,11.031032981260598,0.9335655516783313
mri,Sobel,11.235568132296649,0.9347879858626135
mri,Prewitt,11.265280331103844,0.9338836130694556
mri,Kirsch,11.263510486156774,0.9339425797383345
mri,LoG,11.416620906108975,0.8284714713916543
mri,Roberts,11.232592024017416,0.9273488804498596
mri,Frei-Chen,11.24979211438119,0.9342633096396746
mri,Sobel,12.11307638333269,0.9318715935020444
mri,Prewitt,12.130137800265047,0.9309584405384367
mri,Kirsch,12.097150340743795,0.930957630022553
mri,LoG,12.38625916545242,0.8351473692046496
mri,Roberts,12.112901289523677,0.9253026719927209
mri,Frei-Chen,12.12261094818766,0.9314259802873648
mri,Sobel,12.754091280917972,0.9320680767626
mri,Prewitt,12.742904678942594,0.9313001762902712
mri,Kirsch,12.740708824686442,0.9323390187867677
mri,LoG,13.052390997978202,0.8355409403695924
